StudentID,IPK_4,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,PlacementStatus
36,3.12,1,1,1,67,4.3,No,No,NotPlaced
37,3.32,1,2,2,89,4.8,Yes,Yes,Placed
38,3.28,1,2,2,77,4.2,No,Yes,Placed
39,3.4,2,3,3,90,4.7,Yes,Yes,Placed
40,2.68,0,3,2,88,4.2,Yes,Yes,Placed
41,3.44,2,3,1,90,4.8,Yes,Yes,Placed
42,3.32,2,3,2,85,4.8,Yes,Yes,Placed
43,2.68,0,1,1,72,4.4,No,No,NotPlaced
44,3.44,2,3,2,88,4.7,Yes,Yes,Placed
45,2.96,1,3,0,86,4.8,No,Yes,NotPlaced
46,2.68,1,1,2,73,4.5,No,No,Placed
47,2.76,1,1,1,76,4.4,No,No,NotPlaced
48,2.8,1,1,0,62,4.3,No,Yes,NotPlaced
49,3.24,1,3,2,90,4.6,Yes,Yes,Placed
50,3.08,1,2,0,74,3.8,Yes,No,NotPlaced
51,2.6,0,2,1,77,4.8,No,Yes,NotPlaced
52,3.28,1,3,0,65,4.1,Yes,No,NotPlaced
53,3.24,2,3,2,90,4.7,Yes,Yes,Placed
54,2.6,1,2,1,80,4.5,Yes,Yes,NotPlaced
55,2.6,0,2,1,72,4.5,No,No,NotPlaced
56,3.52,2,3,2,90,4.8,Yes,Yes,Placed
57,3.2,1,1,0,74,4.5,Yes,Yes,NotPlaced
58,3.36,2,2,2,81,4.6,Yes,Yes,Placed
59,3.2,1,1,0,86,4.2,No,No,NotPlaced
60,2.64,0,1,0,76,3.9,No,Yes,Placed
61,3.08,2,2,0,86,4,Yes,Yes,NotPlaced
62,3.28,1,2,1,86,4.3,Yes,Yes,Placed
63,2.88,1,2,0,74,4.1,No,No,NotPlaced
64,2.64,1,2,1,72,4.1,No,No,NotPlaced
65,3.04,1,2,0,77,4.6,Yes,No,NotPlaced
66,3.2,0,3,0,68,4.2,Yes,No,Placed
67,3.12,2,3,2,87,4.8,Yes,No,NotPlaced
68,2.88,1,1,0,82,4.6,Yes,Yes,NotPlaced
69,3.08,1,1,0,74,4.1,No,Yes,Placed
70,3.36,1,1,2,67,3.8,Yes,Yes,NotPlaced
71,3,1,1,1,69,4.3,No,Yes,NotPlaced
72,2.68,0,2,1,79,4.1,No,No,NotPlaced
73,3.24,2,3,2,90,4.8,Yes,Yes,Placed
74,3,1,2,0,73,4.4,No,No,NotPlaced
75,2.96,2,1,0,75,4.2,No,Yes,NotPlaced
76,2.6,1,1,0,63,4.5,No,Yes,NotPlaced
77,3.24,1,3,1,90,4.6,Yes,Yes,Placed
78,2.76,1,1,0,83,3.5,No,Yes,NotPlaced
79,3.28,1,3,0,83,4.8,Yes,Yes,Placed
80,3.04,1,2,1,72,3.9,No,Yes,NotPlaced
81,2.64,1,1,1,69,3.6,No,Yes,NotPlaced
82,2.68,1,2,1,74,4.8,Yes,Yes,Placed
83,3.28,2,3,2,76,4.5,Yes,Yes,NotPlaced
84,3.32,2,3,1,90,4.2,Yes,Yes,Placed
85,3.04,0,2,0,86,4.8,Yes,Yes,Placed
86,2.68,1,3,0,87,4.6,Yes,No,NotPlaced
87,3.24,0,2,1,84,3.8,No,No,NotPlaced
88,3.4,1,2,2,79,3.9,Yes,Yes,Placed
89,3.52,1,3,0,76,4.7,Yes,Yes,Placed
90,2.88,1,2,0,68,4.2,Yes,Yes,NotPlaced
91,3.04,1,1,0,80,4.5,Yes,Yes,NotPlaced
92,2.84,1,1,0,70,3.3,No,No,NotPlaced
93,3.24,1,3,2,89,4.6,Yes,Yes,Placed
94,2.96,1,3,0,83,4.2,No,Yes,NotPlaced
95,3.08,2,2,2,85,4.8,Yes,Yes,NotPlaced
96,3,0,1,1,75,3.3,No,Yes,NotPlaced
97,3,1,1,0,64,4,No,No,NotPlaced
98,3.12,2,2,2,90,4.8,Yes,No,Placed
99,3.08,1,3,1,89,4.6,No,Yes,Placed
100,3.16,0,1,2,83,4.8,Yes,No,NotPlaced
101,2.96,1,2,1,63,3.9,No,No,NotPlaced
102,2.92,1,1,0,80,4.7,No,Yes,NotPlaced
103,2.6,1,1,1,62,3.8,No,Yes,NotPlaced
104,3,2,1,1,76,4.2,Yes,Yes,NotPlaced
105,2.6,1,1,0,68,4.1,No,No,NotPlaced
106,3.4,2,3,2,90,4.8,Yes,Yes,Placed
107,2.68,0,1,1,74,3.9,No,No,NotPlaced
108,2.6,0,1,0,82,4.4,No,No,NotPlaced
109,3.24,1,3,2,90,4.8,Yes,Yes,Placed
110,3.48,2,3,2,90,4.8,Yes,Yes,Placed
111,3.2,1,1,3,84,4,No,Yes,NotPlaced
112,2.92,1,3,1,81,4.2,Yes,Yes,NotPlaced
113,2.96,1,1,1,81,4.1,Yes,No,NotPlaced
114,3.44,2,3,0,81,4.7,Yes,No,Placed
115,2.68,2,1,2,76,4.8,Yes,No,NotPlaced
116,3.04,1,1,1,67,3.5,No,No,NotPlaced
117,3.52,1,3,2,90,4.6,Yes,Yes,Placed
118,2.6,1,2,0,65,4.4,No,Yes,NotPlaced
119,2.6,1,2,1,78,4.2,No,No,NotPlaced
120,2.96,1,2,1,75,4.2,No,Yes,NotPlaced
121,3.48,2,3,2,81,4.7,Yes,Yes,Placed
122,3.2,1,1,1,68,4.2,No,Yes,NotPlaced
123,3.08,1,3,2,90,4.8,Yes,No,Placed
124,2.92,1,1,0,64,3.2,No,Yes,NotPlaced
125,3.36,2,1,2,76,4.1,No,No,NotPlaced
126,3.08,1,2,0,73,4,No,Yes,Placed
127,3,1,1,1,68,4.7,No,No,NotPlaced
128,2.96,0,1,0,79,4.3,No,No,NotPlaced
129,2.96,1,1,1,64,4.3,No,Yes,NotPlaced
130,3.4,1,2,2,90,4.8,Yes,Yes,Placed
131,3.2,1,3,0,80,4.4,Yes,Yes,Placed
132,2.6,1,1,1,72,3.8,No,No,NotPlaced
133,3.36,1,1,0,81,4.6,Yes,No,Placed
134,3.48,0,3,2,88,4.8,No,No,NotPlaced
135,3.2,0,1,0,60,4,No,No,NotPlaced
136,3.36,2,3,1,88,4.6,Yes,Yes,NotPlaced
137,3.28,2,3,2,90,4.4,Yes,Yes,Placed
138,3.24,2,2,2,90,4.5,Yes,Yes,Placed
139,3.16,1,3,1,75,3.7,No,Yes,NotPlaced
140,3.56,2,3,2,90,4.8,Yes,Yes,Placed
141,2.6,1,1,1,72,4.5,No,No,NotPlaced
142,3.04,1,1,0,73,4.3,No,Yes,Placed
143,3.36,1,3,2,90,4.6,Yes,Yes,Placed
144,3.12,2,3,0,77,4.8,Yes,Yes,NotPlaced
145,3.36,1,2,1,74,4.3,Yes,Yes,Placed
146,3.04,1,2,0,74,3.7,No,Yes,Placed
147,3.16,1,1,1,62,4.6,Yes,Yes,NotPlaced
148,3.16,1,3,1,80,4.2,Yes,Yes,Placed
149,3.2,2,1,2,90,4.8,Yes,Yes,NotPlaced
150,3.16,2,1,0,83,4,Yes,Yes,NotPlaced
151,3.36,2,3,2,90,4.8,Yes,Yes,Placed
152,3.44,0,3,2,90,4.8,Yes,Yes,Placed
153,3.12,0,1,0,81,3.9,Yes,Yes,Placed
154,3.24,2,3,3,90,4.8,Yes,Yes,Placed
155,2.88,1,3,1,75,4.2,Yes,Yes,NotPlaced
156,3.08,0,1,0,81,4.8,Yes,Yes,Placed
157,3.36,1,3,2,90,4.5,Yes,Yes,Placed
158,3.2,1,3,1,87,4.6,Yes,Yes,NotPlaced
159,3.12,0,1,1,72,4,No,No,NotPlaced
160,2.6,1,1,0,63,3.5,No,No,NotPlaced
161,2.6,0,3,0,71,3.6,No,Yes,NotPlaced
162,3.16,1,2,1,81,4,Yes,Yes,NotPlaced
163,2.68,1,1,0,75,4.2,No,No,NotPlaced
164,2.76,0,1,0,73,4.1,No,Yes,Placed
165,2.6,1,1,2,85,4.3,Yes,No,Placed
166,2.6,0,1,1,79,3.9,No,No,NotPlaced
167,2.92,1,1,1,71,3.6,No,No,NotPlaced
168,3.32,2,3,0,71,4.6,Yes,Yes,Placed
169,3,1,1,1,74,3.9,No,No,NotPlaced
170,3.2,2,3,3,76,4.1,Yes,Yes,NotPlaced
171,3.32,1,2,1,69,3.8,No,Yes,NotPlaced
172,2.64,0,3,0,87,4.5,No,No,NotPlaced
173,2.96,0,3,0,90,4.6,No,No,NotPlaced
174,3.2,1,1,1,78,4.4,No,No,NotPlaced
175,3.2,2,3,2,90,4.8,Yes,Yes,Placed
176,2.68,1,2,0,73,4.5,No,Yes,NotPlaced
177,3.32,1,2,3,78,3.8,Yes,No,NotPlaced
178,3.4,1,3,2,90,4.8,Yes,Yes,Placed
179,3,2,1,2,90,4.8,Yes,No,NotPlaced
180,2.96,1,1,0,60,3.4,No,No,NotPlaced
181,3.36,0,1,2,88,4.8,Yes,Yes,Placed
182,3.28,1,3,0,82,4.8,Yes,Yes,Placed
183,2.6,1,1,0,74,4.2,No,Yes,NotPlaced
184,3.08,1,1,0,71,4.7,No,Yes,NotPlaced
185,2.92,1,2,2,67,4.5,No,No,NotPlaced
186,2.6,0,1,0,78,3.7,Yes,Yes,NotPlaced
187,2.6,1,1,1,68,4.1,No,No,NotPlaced
188,3,1,1,0,76,4.3,No,Yes,NotPlaced
189,3.12,1,1,1,65,3.9,No,No,NotPlaced
190,2.72,1,1,0,78,4.3,No,No,NotPlaced
191,3.36,2,3,2,90,4.1,Yes,Yes,Placed
192,3.12,2,2,2,80,4.6,No,Yes,Placed
193,3,1,2,0,77,4.2,Yes,Yes,NotPlaced
194,3.56,0,1,2,80,4.8,Yes,Yes,Placed
195,2.6,0,1,0,75,3.7,No,No,NotPlaced
196,3.36,1,1,2,87,4.1,No,No,NotPlaced
197,3.24,0,1,0,71,3.6,Yes,No,NotPlaced
198,3.4,2,3,0,86,4.2,Yes,Yes,Placed
199,3.04,1,1,1,82,4.8,Yes,Yes,Placed
200,3.12,2,3,0,79,4.3,Yes,No,NotPlaced
201,3.44,1,3,2,90,4.7,Yes,Yes,Placed
202,3.16,2,3,2,76,4.6,Yes,Yes,Placed
203,2.6,0,2,2,75,4.5,Yes,No,NotPlaced
204,3.28,0,2,1,82,4.5,Yes,Yes,Placed
205,3.28,1,1,0,81,4.3,Yes,Yes,Placed
206,3.04,1,1,0,64,4.1,No,No,NotPlaced
207,2.92,1,2,1,84,4.6,No,Yes,NotPlaced
208,3.36,2,3,2,90,4.5,Yes,Yes,Placed
209,3.32,2,3,3,90,4.5,Yes,Yes,Placed
210,3.12,1,3,0,88,4.8,Yes,Yes,Placed
211,3.32,1,2,1,82,4.7,Yes,Yes,NotPlaced
212,3,1,1,1,69,4.1,No,No,NotPlaced
213,3.44,2,3,2,78,4.8,Yes,Yes,NotPlaced
214,3.12,2,2,2,77,4.2,Yes,No,NotPlaced
215,2.64,1,1,1,71,4.3,No,No,NotPlaced
216,2.96,0,1,1,70,4.2,No,No,NotPlaced
217,2.76,1,2,1,74,4.1,No,No,NotPlaced
218,2.64,1,1,0,77,4.5,No,No,NotPlaced
219,3.32,1,2,2,88,4.1,Yes,Yes,Placed
220,3.16,2,2,2,88,4.8,Yes,Yes,Placed
221,2.64,1,2,1,76,4.1,Yes,Yes,NotPlaced
222,3.2,2,3,2,86,4.8,Yes,Yes,Placed
223,3,1,2,0,86,3.8,No,No,NotPlaced
224,3.16,2,3,2,90,4.8,Yes,No,NotPlaced
225,3.32,1,3,2,78,3.9,Yes,Yes,Placed
226,2.96,1,1,0,74,3.5,No,Yes,NotPlaced
227,3.2,2,2,2,87,3.8,Yes,Yes,Placed
228,3.48,2,3,2,87,4.7,Yes,Yes,Placed
229,2.96,1,2,0,77,4.5,No,Yes,NotPlaced
230,3.16,2,3,2,90,4.8,Yes,Yes,Placed
231,3,1,1,1,70,4.6,No,No,NotPlaced
232,2.96,2,1,1,87,4.5,Yes,Yes,NotPlaced
233,3.08,0,1,1,69,4.8,Yes,Yes,NotPlaced
234,3.12,0,1,1,70,3.8,No,Yes,NotPlaced
235,3,2,3,0,88,4.6,Yes,Yes,NotPlaced
236,3.28,2,3,1,69,4,Yes,Yes,NotPlaced
237,3.12,1,3,2,75,4.3,Yes,Yes,NotPlaced
238,3.04,1,1,0,72,4.6,Yes,Yes,NotPlaced
239,3.4,2,3,2,90,4.8,Yes,Yes,Placed
240,2.68,0,1,1,71,4.7,No,Yes,NotPlaced
241,3.04,1,3,0,82,4.5,No,Yes,NotPlaced
242,3.04,0,2,0,80,3.7,Yes,No,NotPlaced
243,2.92,1,2,0,71,4.4,No,Yes,NotPlaced
244,3.24,1,2,1,78,3.5,No,Yes,NotPlaced
245,3.04,2,3,0,88,4.4,No,Yes,Placed
246,2.96,1,2,0,77,3.8,No,Yes,NotPlaced
247,3.36,0,2,1,85,4.3,Yes,Yes,Placed
248,2.68,1,2,1,73,4.3,No,Yes,NotPlaced
249,2.6,1,1,0,70,4.7,No,Yes,NotPlaced
250,2.96,1,2,1,68,3.4,No,Yes,NotPlaced
251,3.36,2,3,1,76,4.1,Yes,Yes,NotPlaced
252,2.6,1,1,0,68,4.3,No,Yes,NotPlaced
253,2.64,1,2,1,82,4.4,Yes,Yes,NotPlaced
254,3.24,0,2,2,80,4.4,Yes,No,Placed
255,2.6,1,1,0,74,4.2,No,No,NotPlaced
256,3.4,1,3,2,75,4.5,Yes,Yes,NotPlaced
257,3.48,2,3,2,90,4.8,Yes,Yes,Placed
258,3,1,2,3,86,4.8,No,Yes,NotPlaced
259,3.24,2,3,2,90,4.8,Yes,Yes,Placed
260,3.28,1,3,1,83,4.1,Yes,Yes,NotPlaced
261,3.48,2,1,0,66,4.8,Yes,No,NotPlaced
262,2.64,0,1,2,72,4.2,No,Yes,Placed
263,3.24,0,2,3,78,4.1,Yes,Yes,Placed
264,2.6,1,3,0,80,3.7,No,No,NotPlaced
265,2.96,1,1,0,88,4.5,No,Yes,Placed
266,3.28,2,3,2,80,4.8,Yes,Yes,Placed
267,2.72,2,2,2,80,4.6,No,Yes,NotPlaced
268,3.2,1,2,1,76,4.5,No,Yes,NotPlaced
269,3.4,1,3,0,82,4.4,Yes,Yes,Placed
270,2.64,1,2,1,65,4.1,No,No,NotPlaced
271,3.36,1,2,0,79,3.8,No,Yes,NotPlaced
272,3.12,1,1,1,79,3.7,No,Yes,NotPlaced
273,3.08,1,2,0,81,3.8,Yes,Yes,NotPlaced
274,2.72,1,1,0,73,3.7,No,Yes,NotPlaced
275,2.92,1,2,1,71,4.7,No,No,NotPlaced
276,2.6,2,2,2,79,4.5,Yes,Yes,Placed
277,3.32,2,1,1,83,4.5,Yes,Yes,NotPlaced
278,2.92,1,2,1,79,3.8,No,Yes,NotPlaced
279,2.72,1,2,1,65,3.9,Yes,Yes,Placed
280,3.48,1,3,2,90,4.8,Yes,Yes,Placed
281,3.32,2,3,1,90,4.8,Yes,No,Placed
282,3.28,1,2,1,79,3.8,Yes,Yes,NotPlaced
283,3.28,1,1,2,86,4.4,No,No,NotPlaced
284,3.4,0,2,0,81,3.2,No,Yes,NotPlaced
285,3.2,0,1,1,87,3.8,No,Yes,NotPlaced
286,3.16,1,1,0,77,4.7,Yes,Yes,NotPlaced
287,3.08,1,1,2,82,4.4,No,No,NotPlaced
288,3.04,0,3,3,75,4.3,Yes,Yes,Placed
289,2.68,1,3,0,77,4.1,Yes,Yes,NotPlaced
290,3.4,0,2,2,75,4.5,Yes,No,Placed
291,3.52,1,2,2,90,4.8,Yes,No,Placed
292,2.6,2,3,1,82,4.6,Yes,No,NotPlaced
293,3,0,1,1,80,4.2,Yes,No,NotPlaced
294,3.08,2,3,2,78,4.6,Yes,Yes,NotPlaced
295,3.08,0,1,0,79,4.8,No,Yes,NotPlaced
296,3.44,1,1,2,84,4.3,Yes,Yes,Placed
297,3,0,2,0,69,3.6,No,No,NotPlaced
298,2.72,1,1,0,68,4.3,No,Yes,NotPlaced
299,3.24,0,3,2,90,4.8,Yes,Yes,NotPlaced
300,3.36,2,3,3,82,4.5,Yes,No,Placed
301,3,1,1,0,67,3.4,No,No,NotPlaced
302,3.24,1,3,0,70,4.8,Yes,No,NotPlaced
303,2.96,1,1,1,64,4,No,No,NotPlaced
304,3.36,2,3,2,80,4.6,Yes,Yes,Placed
305,3.28,0,3,2,90,4.8,Yes,Yes,Placed
306,3.2,1,2,1,80,4.3,No,Yes,NotPlaced
307,3.16,0,3,2,90,4.8,Yes,Yes,Placed
308,2.72,0,1,0,77,3.3,No,No,NotPlaced
309,3.32,2,3,2,82,4.6,Yes,Yes,Placed
310,2.96,1,2,1,75,4.3,No,Yes,NotPlaced
311,3.04,1,1,0,66,4.1,No,Yes,NotPlaced
312,3.4,2,3,1,90,4.8,Yes,Yes,NotPlaced
313,3.28,2,3,2,90,4.6,Yes,Yes,Placed
314,3.28,1,3,2,90,4.3,No,Yes,Placed
315,2.6,1,1,0,79,3.6,No,Yes,NotPlaced
316,3,1,1,2,82,4.5,Yes,Yes,Placed
317,3,1,2,1,85,4.1,No,Yes,NotPlaced
318,2.64,0,1,1,67,4.3,No,Yes,NotPlaced
319,3.04,1,1,1,88,4.5,Yes,Yes,Placed
320,3,1,1,1,81,4.5,Yes,Yes,NotPlaced
321,3,0,2,1,66,4.5,No,Yes,Placed
322,3.4,2,3,1,85,4.3,Yes,Yes,Placed
323,3.16,2,1,0,71,4.8,No,Yes,NotPlaced
324,3.28,0,2,0,85,4.1,Yes,No,NotPlaced
325,2.88,1,2,0,69,4,No,Yes,NotPlaced
326,3.44,2,3,2,90,4.8,Yes,Yes,Placed
327,2.6,1,1,1,78,3.9,No,Yes,Placed
328,3.48,1,3,0,86,4.5,Yes,Yes,Placed
329,3.12,1,2,0,78,4.8,Yes,Yes,Placed
330,3.08,1,1,0,80,4,No,Yes,NotPlaced
331,2.6,0,2,0,80,4.6,Yes,Yes,Placed
332,3.4,1,2,1,71,3.8,Yes,Yes,NotPlaced
333,2.96,2,3,0,86,4.6,Yes,Yes,Placed
334,3.44,1,3,2,81,4.8,Yes,Yes,Placed
335,3.2,1,2,1,88,3.6,No,Yes,NotPlaced
336,3.12,1,3,1,89,4.6,Yes,Yes,Placed
337,3.24,1,3,2,90,4.7,Yes,No,Placed
338,2.88,1,2,0,83,4.5,No,Yes,NotPlaced
339,3.36,2,3,2,87,4.8,Yes,Yes,Placed
340,3.36,0,3,2,85,4.6,Yes,Yes,NotPlaced
341,3.32,0,3,1,88,4.7,Yes,Yes,NotPlaced
342,2.88,0,2,1,66,3.9,No,No,NotPlaced
343,3.44,2,3,2,90,4.8,Yes,Yes,Placed
344,3.16,2,1,0,73,4.2,No,No,NotPlaced
345,2.64,1,1,2,81,4.8,Yes,No,NotPlaced
346,2.84,1,1,1,63,3.6,No,Yes,NotPlaced
347,3.12,0,3,0,90,4.7,Yes,Yes,Placed
348,2.64,1,1,1,81,4,No,No,NotPlaced
349,2.6,2,3,0,79,3.7,Yes,Yes,NotPlaced
350,3,2,1,0,83,4.6,Yes,No,NotPlaced
351,3,1,2,0,70,3.7,No,Yes,NotPlaced
352,3.12,0,2,2,74,4.6,Yes,Yes,NotPlaced
353,2.64,1,2,0,71,4,No,No,Placed
354,2.96,1,2,0,72,4.3,No,Yes,NotPlaced
355,3.12,1,3,2,77,4.2,Yes,No,NotPlaced
356,3.28,2,3,2,90,4.8,Yes,Yes,Placed
357,3.56,2,3,2,89,4.6,Yes,Yes,Placed
358,3.28,1,2,1,90,4.8,Yes,Yes,Placed
359,3,1,3,0,70,4.2,No,Yes,NotPlaced
360,3.08,1,2,0,68,3.9,No,Yes,NotPlaced
361,3.48,1,3,2,90,4.7,Yes,Yes,Placed
362,3,1,1,1,65,4.4,No,Yes,NotPlaced
363,2.64,1,1,1,82,3.7,No,Yes,Placed
364,2.96,2,3,1,84,4.8,No,Yes,Placed
365,3,0,3,2,90,4.8,Yes,Yes,Placed
366,3.28,1,1,1,79,4.6,No,Yes,NotPlaced
367,3.48,1,2,0,84,4.4,Yes,Yes,Placed
368,3.2,2,3,1,87,4.2,Yes,Yes,Placed
369,3.36,2,2,0,76,4.4,Yes,Yes,Placed
370,3.2,2,2,2,81,4.5,No,No,NotPlaced
371,3,1,2,2,70,4.7,Yes,Yes,NotPlaced
372,2.6,1,3,2,90,4,Yes,No,Placed
373,3.12,0,3,2,73,4.6,Yes,No,NotPlaced
374,3.04,1,2,0,64,4.5,No,Yes,NotPlaced
375,3.48,0,3,0,75,3.7,Yes,Yes,NotPlaced
376,2.88,1,1,0,85,3.5,No,Yes,NotPlaced
377,3.24,1,3,2,90,4.7,Yes,Yes,Placed
378,2.96,1,2,0,77,4.1,Yes,Yes,NotPlaced
379,3.28,2,2,2,81,4.8,Yes,Yes,Placed
380,3.28,2,1,2,90,4.8,Yes,Yes,Placed
381,2.6,1,2,1,65,4,Yes,Yes,NotPlaced
382,2.96,0,2,1,73,3.8,No,No,NotPlaced
383,2.92,0,1,1,80,3.6,No,Yes,NotPlaced
384,3.48,0,1,1,87,4.1,No,No,NotPlaced
385,3.4,2,1,3,82,3.6,Yes,Yes,NotPlaced
386,3.4,1,3,2,74,4.1,No,Yes,Placed
387,3.16,1,2,1,76,4.1,Yes,Yes,NotPlaced
388,2.96,2,3,0,71,4.8,Yes,Yes,NotPlaced
389,2.68,1,2,0,86,4.4,No,No,Placed
390,3.32,2,3,2,82,4.8,Yes,Yes,Placed
391,3.04,1,1,0,76,4.3,No,Yes,NotPlaced
392,3,1,2,0,90,4.2,No,Yes,Placed
393,3.56,0,3,0,89,4.8,Yes,No,Placed
394,2.92,1,1,0,79,4.1,Yes,No,NotPlaced
395,3.44,1,2,0,86,4.8,Yes,Yes,Placed
396,3.28,2,3,2,90,4.8,Yes,Yes,Placed
397,3.08,1,1,1,73,4.6,No,No,NotPlaced
398,3.16,1,3,0,88,4.7,Yes,Yes,Placed
399,2.96,1,1,1,87,4.6,No,Yes,NotPlaced
400,2.76,0,1,0,90,4.5,Yes,Yes,Placed
401,3.2,1,3,2,90,4.8,Yes,Yes,Placed
402,2.84,1,3,0,81,4.4,Yes,Yes,NotPlaced
403,2.76,0,1,1,76,3.8,No,No,NotPlaced
404,3.4,2,3,2,90,4.8,Yes,Yes,Placed
405,2.76,0,1,2,76,4.8,Yes,No,Placed
406,2.92,1,1,1,77,4.7,Yes,Yes,NotPlaced
407,3.12,2,3,0,89,4.6,No,Yes,NotPlaced
408,3.32,2,1,0,81,4.1,Yes,Yes,NotPlaced
409,3.44,1,3,2,83,4.4,Yes,Yes,Placed
410,3.44,2,3,0,87,4.8,No,No,NotPlaced
411,3.48,2,1,0,90,4.7,Yes,Yes,Placed
412,3,1,3,2,90,4.2,Yes,Yes,Placed
413,3.12,0,1,1,63,4.5,No,No,NotPlaced
414,2.6,0,1,0,71,3.4,No,Yes,NotPlaced
415,3.04,1,3,1,73,4.4,No,Yes,NotPlaced
416,2.6,1,1,1,80,3.8,Yes,Yes,NotPlaced
417,3.2,1,3,0,75,4.3,No,No,NotPlaced
418,3.2,2,3,0,86,4.8,Yes,Yes,Placed
419,3,1,1,0,67,4.2,Yes,Yes,Placed
420,3.12,1,3,0,78,4.4,No,Yes,Placed
421,2.92,1,1,1,75,3.6,No,Yes,NotPlaced
422,3.12,1,2,0,82,4.7,Yes,Yes,NotPlaced
423,2.6,1,1,1,82,3.4,No,No,NotPlaced
424,3.24,1,3,3,90,4.8,Yes,Yes,Placed
425,3.16,0,1,0,85,4.5,Yes,No,NotPlaced
426,3.48,1,3,0,74,4.6,Yes,Yes,Placed
427,2.84,2,2,0,76,4,No,Yes,Placed
428,3.56,1,3,2,81,4.8,Yes,No,Placed
429,3.32,0,3,0,75,4.2,Yes,No,NotPlaced
430,3.32,1,2,0,90,4.5,Yes,Yes,Placed
431,3.16,2,3,2,86,4.7,Yes,Yes,Placed
432,3.24,2,3,2,90,4.5,Yes,Yes,Placed
433,3.08,2,1,1,64,3.7,No,Yes,NotPlaced
434,3.24,2,3,2,85,4.5,Yes,Yes,Placed
435,3.12,1,3,0,81,4.3,No,No,NotPlaced
436,2.88,1,1,1,67,3.8,No,No,NotPlaced
437,3.36,1,1,2,84,4.8,Yes,Yes,Placed
438,3.36,2,3,2,90,4.8,Yes,Yes,Placed
439,3.28,1,1,0,76,4.2,No,Yes,NotPlaced
440,2.6,0,1,0,67,4.3,Yes,No,Placed
441,2.6,1,1,0,73,4.1,No,Yes,NotPlaced
442,3.32,2,3,2,90,4.8,Yes,Yes,Placed
443,3.28,0,3,2,78,4.5,No,Yes,Placed
444,3.24,1,2,2,76,4.5,Yes,Yes,Placed
445,2.6,1,1,1,60,3.8,No,No,NotPlaced
446,3.28,0,3,1,83,4.7,Yes,No,NotPlaced
447,3.08,1,3,1,75,4.6,Yes,Yes,NotPlaced
448,3.08,0,3,2,89,4.4,Yes,Yes,Placed
449,2.6,1,1,0,80,4.3,Yes,Yes,NotPlaced
450,3.32,2,3,2,87,4.8,Yes,Yes,NotPlaced
451,3.2,1,3,0,77,4.1,No,No,Placed
452,3.44,0,2,1,90,4.6,Yes,Yes,Placed
453,3.04,0,2,0,83,4.2,No,Yes,NotPlaced
454,2.8,1,1,1,71,4.3,No,Yes,NotPlaced
455,3.16,2,3,2,90,4.8,Yes,Yes,Placed
456,3.08,1,3,2,84,4.6,Yes,Yes,Placed
457,2.96,1,3,0,76,4.4,Yes,Yes,NotPlaced
458,2.6,1,1,1,78,4.1,No,Yes,NotPlaced
459,2.96,1,2,0,73,4.3,No,Yes,NotPlaced
460,3.12,2,3,2,84,4.1,Yes,Yes,Placed
